ourName,ourCategory,ourSource,matchedDescription,matchedCategory,foodCode,score,tier,coreMismatch,compositeDish,cup,tbsp,tsp,piece
ZAATAR LEBANESE BLEND THYME MIXER,,usda,,,,17.1,no-match,no,yes,,,,
"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,usda,,,,17.6,no-match,no,no,,,,
LABNEH MIDDLE EASTERN STYLE SPREADABLE CHEESE,,usda,,,,18.7,no-match,no,no,,,,
AUTHENTIC BARREL RIPENED FETA CHEESE,,usda,,,,19.7,no-match,no,no,,,,
"BURGER KING, DOUBLE WHOPPER, with cheese",,usda,,,,19.8,no-match,no,no,,,,
ALL NATURAL AYRAN YOGURT DRINK,,usda,,,,20.3,no-match,no,no,,,,
BAKING SODA,,usda,,,,20.9,no-match,no,no,,,,
"BURGER KING, CROISSAN'WICH with Egg and Cheese",,usda,,,,22.2,no-match,no,no,,,,
ALL PURPOSE FLOUR,,usda,,,,22.4,no-match,no,no,,,,
"Lentils, sprouted, cooked, stir-fried, with salt",,usda,,,,22.4,no-match,no,no,,,,
"Lentils, mature seeds, cooked, boiled, with salt",,usda,,,,22.5,no-match,no,no,,,,
"Vermicelli (shaariyeh), dry",grains,lebanese,,,,22.7,no-match,no,no,,,,
Egg sandwich on croissant,,usda,,,,22.8,no-match,no,no,,,,
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",,usda,,,,23.6,no-match,no,no,,,,
"Chicken, breast, boneless, skinless, raw",,usda,,,,24.2,no-match,no,no,,,,
"Nuts, cashew nuts, oil roasted, without salt added",,usda,,,,24.2,no-match,no,no,,,,
"PIZZA HUT 14"" Sausage Pizza, Hand-Tossed Crust",,usda,,,,24.2,no-match,no,yes,,,,
LOAF,,usda,,,,24.7,no-match,no,yes,,,,
"BURGER KING, WHOPPER, with cheese",,usda,,,,24.8,no-match,no,no,,,,
Ghee (samneh),fats_oils,lebanese,,,,24.9,no-match,no,no,,,,
Stuffed vine leaves (warak enab),prepared,lebanese,,,,24.9,no-match,no,yes,,,,
"Tofu, fried",,usda,,,,25,no-match,no,no,,,,
"100% PURE MAPLE SYRUP, MAPLE",,usda,,,,25,no-match,no,no,,,,
"Babyfood, apple-banana juice",,usda,,,,25.2,no-match,no,no,,,,
